	sequences per sample	iteration	515rcbc12	515rcbc30	515rcbc15	515rcbc28	515rcbc25	515rcbc14	515rcbc31	515rcbc24	515rcbc22	515rcbc34	515rcbc23	515rcbc26	515rcbc29	515rcbc35	515rcbc10	515rcbc27	515rcbc17	515rcbc33	515rcbc19	515rcbc16	515rcbc32	515rcbc37	515rcbc13	515rcbc18	515rcbc9	515rcbc11	515rcbc21	515rcbc8	515rcbc36	515rcbc20
alpha_rarefaction_10_0.txt	10	0	3.722	4.1721	3.39205	3.53048	3.35466	4.07703	3.2902	4.94218	4.23115	3.37401	4.43343	3.60343	3.11455	3.06211	3.18916	4.7614	3.68166	3.44796	4.67473	3.86128	2.96052	4.38325	3.2588	3.56414	3.8329	4.16056	3.36499	3.25138	3.91039	3.31601
alpha_rarefaction_10_1.txt	10	1	3.94558	4.98521	3.42751	4.20639	4.56467	2.32975	3.54972	3.89812	3.36024	3.19919	3.80859	4.52867	4.04486	4.89272	3.80414	4.14105	2.99872	3.20262	3.89076	3.70077	3.53558	3.76227	2.35857	3.44648	4.04454	3.69092	3.34909	3.82706	2.78092	4.22587
alpha_rarefaction_10_2.txt	10	2	4.77118	3.29697	3.87265	3.96507	3.07152	3.36515	3.73553	4.31825	3.35314	2.673	3.49852	3.70165	4.00079	3.21193	3.34672	3.38455	3.87334	4.28028	3.71646	3.59962	3.4299	4.53683	4.40452	4.26613	4.13162	3.24464	3.93796	3.0098	4.27195	4.22904
alpha_rarefaction_10_3.txt	10	3	3.79984	4.41742	2.652	4.48268	3.59507	4.65772	3.85345	3.03904	4.50556	3.77091	3.58314	4.41953	3.57376	2.5063	3.34084	4.14577	3.9871	4.23267	4.60164	3.43036	3.648	3.83829	3.70304	3.71126	5.12619	4.30477	3.11088	3.84634	3.59379	3.23999
alpha_rarefaction_10_4.txt	10	4	3.73452	3.75796	3.15938	4.29536	3.30981	3.48295	2.91912	4.49813	3.12378	3.58714	4.19541	3.10282	3.53068	3.89503	3.38873	3.08088	3.58012	2.93582	3.21085	3.26545	3.52285	4.34388	3.92625	5.19883	3.6135	3.42727	3.03895	4.45201	3.68019	3.9868
alpha_rarefaction_10_5.txt	10	5	3.32644	3.61945	3.20026	3.50013	3.7667	4.3851	3.92758	3.19212	3.91222	3.60379	3.30505	5.41675	3.44234	4.13962	4.94792	2.01927	4.2011	3.06295	3.97452	3.90677	2.67999	4.11701	3.02715	5.46719	3.62214	3.01825	3.97106	4.5859	4.18477	3.46914
alpha_rarefaction_10_6.txt	10	6	4.30152	4.03464	4.08876	4.06156	4.16554	4.05247	3.26729	3.03505	3.84897	2.48759	3.51835	4.28672	3.05547	4.61096	3.21132	3.36261	3.28767	3.48966	4.26108	4.04852	3.21203	3.76194	4.22695	3.61616	3.61635	4.41477	2.56875	4.10244	3.3788	3.43596
alpha_rarefaction_10_7.txt	10	7	3.32856	3.70604	3.81165	3.59515	3.56752	3.42945	4.90919	4.01575	3.65063	5.59209	3.56973	4.73554	4.02293	2.88543	3.88001	4.23099	4.50313	3.38414	4.06544	3.90902	2.75936	4.10852	3.63338	3.33502	4.01625	3.67829	5.02662	3.03627	3.84129	3.50641
alpha_rarefaction_10_8.txt	10	8	3.57296	4.02977	3.03344	4.1815	3.56821	3.7461	4.01544	4.36462	4.61841	3.24841	3.90653	2.9574	4.4502	2.34909	3.93695	4.1455	3.94303	4.52826	5.15244	3.48871	3.14904	3.07403	3.14017	3.75388	4.83748	4.15377	4.15874	4.21434	4.07757	4.024
alpha_rarefaction_10_9.txt	10	9	3.02987	4.04421	3.27581	3.86921	4.54058	4.91724	3.13846	4.24554	3.54231	4.24028	3.62918	3.8967	2.73366	2.91191	3.47831	4.56746	3.71535	2.78496	5.2678	4.35821	3.18398	4.07294	3.21282	4.04306	4.29284	3.98453	4.18887	3.5369	3.30092	4.16316
alpha_rarefaction_69_0.txt	69	0	15.33791	13.34909	14.86429	15.89595	14.75768	17.39252	15.74606	15.00439	15.51917	17.84316	17.85955	15.29617	16.70142	15.55106	14.99598	15.93498	13.63981	13.57605	14.81583	15.18751	15.3927	17.2629	16.16596	17.30707	16.07344	15.74296	15.94533	15.9651	15.28396	17.17795
alpha_rarefaction_69_1.txt	69	1	16.32502	14.22681	13.11298	13.84062	13.91763	15.36186	14.80614	17.9286	15.55893	16.47323	15.33409	15.42506	18.30034	15.32173	15.84821	16.09	13.40847	15.03888	15.65887	14.16702	14.94444	13.79457	15.3962	18.47281	17.28533	15.91883	14.98284	14.24915	13.8184	15.80977
