	sequences per sample	iteration	515rcbc12	515rcbc30	515rcbc15	515rcbc28	515rcbc25	515rcbc14	515rcbc31	515rcbc24	515rcbc22	515rcbc34	515rcbc23	515rcbc26	515rcbc29	515rcbc35	515rcbc10	515rcbc27	515rcbc17	515rcbc33	515rcbc19	515rcbc16	515rcbc32	515rcbc37	515rcbc13	515rcbc18	515rcbc9	515rcbc11	515rcbc21	515rcbc8	515rcbc36	515rcbc20
alpha_rarefaction_10_0.txt	10	0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_1.txt	10	1	55.0	55.0	23.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	29.0	55.0
alpha_rarefaction_10_2.txt	10	2	55.0	55.0	55.0	23.0	55.0	23.0	13.0	55.0	55.0	23.0	23.0	55.0	23.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_3.txt	10	3	55.0	55.0	29.0	23.0	23.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	23.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	23.0	23.0
alpha_rarefaction_10_4.txt	10	4	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	23.0	29.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_5.txt	10	5	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_6.txt	10	6	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0
alpha_rarefaction_10_7.txt	10	7	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	29.0	23.0	23.0	13.0	55.0	55.0	55.0	55.0	23.0	55.0	13.0	23.0	23.0
alpha_rarefaction_10_8.txt	10	8	55.0	55.0	13.0	55.0	55.0	55.0	55.0	55.0	55.0	13.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	23.0	55.0	23.0	23.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_9.txt	10	9	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0
alpha_rarefaction_69_0.txt	69	0	490.75	302.0	261.166666667	205.0	235.166666667	195.111111111	393.6	262.166666667	830.0	265.428571429	318.666666667	225.75	261.166666667	506.5	265.428571429	291.0	170.8	269.2	265.428571429	554.0	369.0	554.25	318.666666667	265.428571429	403.5	593.0	613.0	350.0	227.5	318.666666667
alpha_rarefaction_69_1.txt	69	1	490.75	289.666666667	169.142857143	429.0	301.0	593.0	403.5	318.666666667	130.25	349.166666667	265.428571429	244.0	291.0	288.666666667	241.142857143	506.5	155.0	592.0	256.857142857	322.2	240.142857143	346.2	613.0	506.5	233.0	214.111111111	461.0	393.6	188.142857143	265.428571429
alpha_rarefaction_69_2.txt	69	2	393.6	363.25	760.333333333	289.666666667	506.5	463.333333333	403.5	979.0	416.75	446.0	574.333333333	241.142857143	308.5	198.0	674.0	358.0	554.25	506.5	334.6	829.0	289.666666667	185.375	204.0	289.666666667	165.1	358.0	506.5	346.2	291.2	205.0
alpha_rarefaction_69_3.txt	69	3	349.166666667	262.166666667	633.333333333	291.0	482.0	226.5	289.666666667	461.0	446.0	225.75	506.5	369.0	318.666666667	195.111111111	288.666666667	358.0	461.0	613.0	318.666666667	323.2	177.111111111	554.25	155.0	369.0	460.0	446.0	349.166666667	247.625	277.75	318.666666667
alpha_rarefaction_69_4.txt	69	4	760.333333333	633.333333333	187.5	201.857142857	416.75	389.5	226.5	135.0	247.625	318.666666667	674.0	358.0	218.375	182.0	168.142857143	554.25	381.2	388.5	247.625	402.5	417.75	218.375	358.0	506.5	349.166666667	198.0	431.0	261.0	389.5	393.6
alpha_rarefaction_69_5.txt	69	5	349.166666667	265.428571429	461.0	445.0	148.6	289.666666667	182.333333333	506.5	1173.5	225.75	247.625	244.0	232.6	265.428571429	188.666666667	280.0	214.111111111	208.428571429	349.166666667	490.75	235.166666667	393.6	177.111111111	291.0	233.0	430.25	289.666666667	389.5	236.166666667	358.0
alpha_rarefaction_69_6.txt	69	6	349.166666667	393.6	349.166666667	313.0	191.125	350.0	334.6	225.75	252.0	334.6	393.6	241.142857143	349.166666667	313.0	334.6	280.0	506.5	154.857142857	431.0	369.0	291.2	318.666666667	506.5	280.0	214.111111111	291.2	233.0	431.0	202.857142857	233.0
alpha_rarefaction_69_7.txt	69	7	431.0	241.142857143	633.333333333	165.1	280.0	270.5	490.75	346.2	490.75	289.666666667	760.333333333	187.5	308.5	358.0	695.333333333	431.0	187.5	251.0	265.428571429	613.0	323.2	349.166666667	211.125	291.0	159.111111111	490.75	291.0	248.428571429	218.142857143	506.5
alpha_rarefaction_69_8.txt	69	8	431.0	393.6	148.083333333	346.2	188.666666667	235.166666667	191.125	324.2	346.2	241.142857143	389.5	177.111111111	506.5	346.2	214.111111111	506.5	308.5	231.6	554.25	667.5	308.5	289.666666667	214.111111111	695.333333333	461.0	210.428571429	431.0	291.0	235.166666667	233.0
alpha_rarefaction_69_9.txt	69	9	979.0	195.428571429	265.428571429	281.6	357.0	185.375	381.2	358.0	205.0	210.666666667	247.625	280.0	289.666666667	227.5	318.666666667	506.5	318.666666667	158.111111111	265.428571429	298.5	357.0	393.6	247.625	214.111111111	253.0	346.2	291.0	235.166666667	137.666666667	431.0
alpha_rarefaction_128_0.txt	128	0	691.0	447.25	493.6	559.0	273.125	537.111111111	608.0	629.25	364.071428571	495.909090909	313.833333333	570.111111111	249.588235294	384.583333333	325.25	393.071428571	370.153846154	701.0	481.083333333	756.428571429	614.875	744.857142857	514.5	639.3	554.5	480.083333333	370.625	406.230769231	262.230769231	570.111111111
alpha_rarefaction_128_1.txt	128	1	643.272727273	538.111111111	320.076923077	884.2	475.111111111	557.857142857	565.0	801.666666667	408.363636364	292.066666667	951.666666667	340.076923077	490.0	527.333333333	374.75	574.6	311.5	280.235294118	481.083333333	504.5	407.230769231	957.857142857	344.071428571	399.5	355.461538462	414.076923077	365.071428571	423.0	377.0	697.666666667
