# Constructed from biom file
#OTU ID	515rcbc8	515rcbc9	515rcbc10	515rcbc11	515rcbc12	515rcbc13	515rcbc14	515rcbc15	515rcbc16	515rcbc17	515rcbc18	515rcbc19	515rcbc20	515rcbc21	515rcbc22	515rcbc23	515rcbc24	515rcbc25	515rcbc26	515rcbc27	515rcbc28	515rcbc29	515rcbc30	515rcbc31	515rcbc32	515rcbc33	515rcbc34	515rcbc35	515rcbc36	515rcbc37
Unassigned;Other;Other	0.0134861476151	0.00753141557325	0.0068069923658	0.00792226509833	0.0197402039858	0.00683508476107	0.0098721865362	0.00742646143634	0.00839138943249	0.00698873432766	0.00565746343923	0.00826359444726	0.00520156046814	0.00926965248095	0.00760983134605	0.00894994659497	0.00534801070577	0.00722315947659	0.00901235343503	0.00675107668033	0.00684350387398	0.00663375165844	0.00708880923935	0.00713045068105	0.00539598126017	0.00745982166228	0.0056967510051	0.00548100356973	0.00902577700722	0.00850424482889
k__Archaea;p__Crenarchaeota;c__MBGA	6.46301003921e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.60926288324e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.08847838723e-05	0.0	0.0	0.0	5.43750135938e-06	0.0	0.0	9.74003837575e-06	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__MCG	0.0	0.0	0.0	9.298433214e-06	5.33966403902e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.63746183459e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	0.0115472446034	0.0453271935421	0.0140624688553	0.0102840671347	0.00130768372316	0.019842823161	0.024979402565	0.0226776749782	0.0268180039139	0.0321732871324	0.029098903177	0.017207065775	0.0169050715215	0.0120646719941	0.0143900699997	0.029329797552	0.0528219653574	0.00472801508428	0.0592256686447	0.0169552902834	0.0406928347314	0.0276714444179	0.0574405947166	0.00798835500362	0.00630180482911	0.0161062348404	0.0371354292452	0.0287702124647	0.00453838504883	0.0193861773201
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0	2.77400205276e-05	4.98315692958e-06	0.0	1.97567569444e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.23613978269e-05	0.0	0.0	0.0	2.45540372976e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.32749236692e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	0.0	2.77400205276e-05	0.0	0.0	1.22812272897e-05	0.0	0.0	0.0	0.0	0.0	7.87947554211e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.0	2.77400205276e-05	8.47136678028e-05	0.0	2.13586561561e-06	0.0	0.0	0.0	5.21852576647e-06	6.69579336782e-05	7.0915279879e-05	0.0	0.0	0.0	0.0	0.0	4.87512370626e-06	0.0	0.00033696378496	0.0	0.0	0.000135937533984	0.000902694809505	0.0	0.0	0.0	5.68254464349e-05	0.000101125527117	0.0	4.37611226187e-05
k__Archaea;p__[Parvarchaeota];c__[Micrarchaea]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71337517776e-05	0.0	0.0	0.0	4.64622328422e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea]	8.61734671895e-05	4.16100307914e-05	0.0	9.298433214e-05	3.73776482731e-06	1.50552527777e-05	7.29112742703e-05	2.48931668257e-05	4.69667318982e-05	0.0	8.66742309632e-05	1.85420967403e-05	0.0	8.17691878833e-05	6.72642723575e-05	3.68310559464e-05	0.0001560039586	2.12654351617e-05	6.85350071105e-05	0.0	2.40122942947e-05	4.89375122344e-05	1.99123855038e-05	6.32880237963e-05	6.81802686303e-05	5.23496257002e-05	0.00011365089287	1.01125527117e-05	0.0	0.000481372348805
k__Bacteria;Other;Other	0.0	0.0	0.0	9.298433214e-06	2.189262256e-05	0.0	0.0	0.0	0.0	8.36974170977e-06	0.0	6.18069891343e-06	0.0	0.0	0.0	0.0	0.0	0.0	5.71125059254e-06	0.0	8.00409809823e-06	0.0	0.0	7.03200264403e-06	0.0	0.0	0.0	4.04502108467e-05	0.0	0.0
